episode,reward
1,0.429
2,2.6199
3,0.8374
4,2.4626
5,0.4106
6,0.9381
7,0.6574
8,2.7063
9,2.823
10,2.6888
11,0.0
12,0.9498
13,0.5646
14,0.8807
15,0.0
16,0.581
17,0.7192
18,2.6372
19,0.0
20,1.012
21,0.8543
22,2.6178
23,0.4434
24,0.0
25,0.0
26,1.9744
27,0.493
28,2.9062
29,0.9174
30,0.7832
31,1.8105
32,1.7645
33,1.7955
34,0.0
35,0.5752
36,2.4956
37,0.0
38,2.5836
39,0.8926
40,2.5601
41,1.1984
42,0.0
43,0.2162
44,1.9873
45,0.7945
46,2.6648
47,2.5342
48,0.4374
49,2.6525
50,0.731
51,0.804
52,2.6387
53,0.576
54,0.4154
55,0.8654
56,0.0
57,0.2245
58,2.6298
59,1.0102
60,0.4661
61,2.8775
62,0.8186
63,0.9564
64,1.799
65,2.6631
66,1.0926
67,0.5482
68,2.4662
69,0.6998
70,2.7735
71,0.0
72,0.4458
73,2.5348
74,0.35
75,0.4535
76,1.749
77,0.5656
78,2.532
79,0.8738
80,0.0
